,Date,Issue_Reported,Number_of_Incidents
1240,12/3/2017,TRFC HAZD/ DEBRIS,3
1241,12/3/2017,BLOCKED DRIV/ HWY,2
1242,12/30/2017,Traffic Hazard,39
1243,12/30/2017,Crash Service,26
1244,12/30/2017,Crash Urgent,15
1245,12/30/2017,COLLISION,11
1246,12/30/2017,TRFC HAZD/ DEBRIS,9
1247,12/30/2017,zSTALLED VEHICLE,9
1248,12/30/2017,Traffic Impediment,7
1249,12/30/2017,COLLISION WITH INJURY,5
1250,12/30/2017,LOOSE LIVESTOCK,5
1251,12/30/2017,COLLISN/ LVNG SCN,3
1252,12/31/2017,Traffic Hazard,46
1253,12/31/2017,Crash Urgent,27
1254,12/31/2017,Crash Service,19
1255,12/31/2017,COLLISION,13
1256,12/31/2017,Traffic Impediment,9
1257,12/31/2017,TRFC HAZD/ DEBRIS,8
1258,12/31/2017,COLLISION WITH INJURY,7
1259,12/31/2017,COLLISN/ LVNG SCN,4
1260,12/31/2017,zSTALLED VEHICLE,3
1261,12/31/2017,ICY ROADWAY,2
1262,12/31/2017,LOOSE LIVESTOCK,2
1263,12/31/2017,COLLISION/PRIVATE PROPERTY,1
1264,12/4/2017,Traffic Hazard,78
1265,12/4/2017,Crash Urgent,52
1266,12/4/2017,Crash Service,31
1267,12/4/2017,COLLISION,14
1268,12/4/2017,Traffic Impediment,13
1269,12/4/2017,zSTALLED VEHICLE,13
1270,12/4/2017,TRFC HAZD/ DEBRIS,12
1271,12/4/2017,LOOSE LIVESTOCK,4
1272,12/4/2017,COLLISION WITH INJURY,3
1273,12/4/2017,COLLISN/ LVNG SCN,3
1274,12/5/2017,Traffic Hazard,60
1275,12/5/2017,Crash Service,43
1276,12/5/2017,Crash Urgent,39
1277,12/5/2017,Traffic Impediment,22
1278,12/5/2017,COLLISION,13
1279,12/5/2017,COLLISION WITH INJURY,7
1280,12/5/2017,TRFC HAZD/ DEBRIS,6
1281,12/5/2017,COLLISN/ LVNG SCN,4
1282,12/5/2017,zSTALLED VEHICLE,4
1283,12/5/2017,LOOSE LIVESTOCK,3
1284,12/6/2017,Crash Urgent,104
1285,12/6/2017,Crash Service,73
1286,12/6/2017,Traffic Hazard,68
1287,12/6/2017,COLLISION,37
1288,12/6/2017,zSTALLED VEHICLE,15
1289,12/6/2017,TRFC HAZD/ DEBRIS,12
1290,12/6/2017,Traffic Impediment,12
1291,12/6/2017,COLLISION WITH INJURY,5
1292,12/6/2017,COLLISN/ LVNG SCN,2
1293,12/6/2017,LOOSE LIVESTOCK,2
1294,12/6/2017,BLOCKED DRIV/ HWY,1
1295,12/7/2017,Traffic Hazard,73
1296,12/7/2017,Crash Urgent,70
1297,12/7/2017,Crash Service,41
1298,12/7/2017,COLLISION,20
1299,12/7/2017,TRFC HAZD/ DEBRIS,19
1300,12/7/2017,Traffic Impediment,15
1301,12/7/2017,zSTALLED VEHICLE,9
1302,12/7/2017,COLLISION WITH INJURY,7
1303,12/7/2017,COLLISN/ LVNG SCN,6
1304,12/7/2017,LOOSE LIVESTOCK,3
1305,12/7/2017,COLLISION/PRIVATE PROPERTY,1
1306,12/7/2017,ICY ROADWAY,1
1307,12/8/2017,Traffic Hazard,58
1308,12/8/2017,Crash Urgent,54
1309,12/8/2017,Crash Service,44
1310,12/8/2017,COLLISION,27
1311,12/8/2017,Traffic Impediment,23
1312,12/8/2017,TRFC HAZD/ DEBRIS,15
1313,12/8/2017,zSTALLED VEHICLE,11
1314,12/8/2017,COLLISION WITH INJURY,5
1315,12/8/2017,ICY ROADWAY,5
1316,12/8/2017,COLLISN/ LVNG SCN,4
1317,12/8/2017,LOOSE LIVESTOCK,1
1318,12/9/2017,Traffic Hazard,57
1319,12/9/2017,Crash Urgent,48
1320,12/9/2017,Crash Service,33
1321,12/9/2017,Traffic Impediment,15
1322,12/9/2017,COLLISION,8
1323,12/9/2017,zSTALLED VEHICLE,8
1324,12/9/2017,TRFC HAZD/ DEBRIS,6
1325,12/9/2017,COLLISION WITH INJURY,5
1326,12/9/2017,BLOCKED DRIV/ HWY,1
1327,12/9/2017,COLLISION/PRIVATE PROPERTY,1
1328,12/9/2017,COLLISN/ LVNG SCN,1
1329,12/9/2017,LOOSE LIVESTOCK,1
1330,12/9/2017,VEHICLE FIRE,1
1331,2/1/2018,Traffic Hazard,54
1332,2/1/2018,Crash Urgent,51
1333,2/1/2018,Crash Service,27
1334,2/1/2018,COLLISION,14
1335,2/1/2018,Traffic Impediment,14
1336,2/1/2018,zSTALLED VEHICLE,14
1337,2/1/2018,TRFC HAZD/ DEBRIS,13
1338,2/1/2018,COLLISION WITH INJURY,5
1339,2/1/2018,LOOSE LIVESTOCK,4
1340,2/1/2018,COLLISN/ LVNG SCN,3
1341,2/1/2018,VEHICLE FIRE,1
1342,2/10/2018,Traffic Hazard,51
1343,2/10/2018,Crash Urgent,36
1344,2/10/2018,COLLISION,13
1345,2/10/2018,Crash Service,12
1346,2/10/2018,Traffic Impediment,10
1347,2/10/2018,COLLISION WITH INJURY,8
1348,2/10/2018,zSTALLED VEHICLE,8
1349,2/10/2018,TRFC HAZD/ DEBRIS,4
1350,2/10/2018,COLLISN/ LVNG SCN,2
1351,2/10/2018,COLLISION/PRIVATE PROPERTY,1
1352,2/10/2018,LOOSE LIVESTOCK,1
1353,2/10/2018,VEHICLE FIRE,1
1354,2/11/2018,Traffic Hazard,27
1355,2/11/2018,Crash Urgent,24
1356,2/11/2018,Crash Service,18
1357,2/11/2018,Traffic Impediment,7
1358,2/11/2018,COLLISION,6
1359,2/11/2018,zSTALLED VEHICLE,6
1360,2/11/2018,TRFC HAZD/ DEBRIS,5
1361,2/11/2018,COLLISN/ LVNG SCN,3
1362,2/11/2018,COLLISION WITH INJURY,1
1363,2/11/2018,LOOSE LIVESTOCK,1
1364,2/12/2018,Traffic Hazard,43
1365,2/12/2018,Crash Urgent,39
1366,2/12/2018,Crash Service,18
1367,2/12/2018,Traffic Impediment,13
1368,2/12/2018,COLLISION,12
1369,2/12/2018,TRFC HAZD/ DEBRIS,11
1370,2/12/2018,COLLISION WITH INJURY,7
1371,2/12/2018,zSTALLED VEHICLE,7
1372,2/12/2018,COLLISN/ LVNG SCN,3
1373,2/12/2018,COLLISION/PRIVATE PROPERTY,2
1374,2/12/2018,LOOSE LIVESTOCK,1
1375,2/13/2018,Traffic Hazard,57
1376,2/13/2018,Crash Urgent,33
1377,2/13/2018,Crash Service,24
1378,2/13/2018,COLLISION,15
1379,2/13/2018,Traffic Impediment,13
1380,2/13/2018,TRFC HAZD/ DEBRIS,7
1381,2/13/2018,zSTALLED VEHICLE,6
1382,2/13/2018,COLLISION WITH INJURY,4
1383,2/13/2018,LOOSE LIVESTOCK,2
1384,2/13/2018,COLLISION/PRIVATE PROPERTY,1
1385,2/13/2018,TRAFFIC FATALITY,1
1386,2/14/2018,Crash Urgent,55
1387,2/14/2018,Traffic Hazard,51
1388,2/14/2018,Crash Service,40
1389,2/14/2018,Traffic Impediment,23
1390,2/14/2018,COLLISION,16
1391,2/14/2018,TRFC HAZD/ DEBRIS,15
1392,2/14/2018,COLLISION WITH INJURY,9
1393,2/14/2018,zSTALLED VEHICLE,9
1394,2/14/2018,COLLISN/ LVNG SCN,5
1395,2/14/2018,LOOSE LIVESTOCK,3
1396,2/15/2018,Traffic Hazard,64
1397,2/15/2018,Crash Urgent,55
1398,2/15/2018,Crash Service,34
1399,2/15/2018,COLLISION,20
1400,2/15/2018,Traffic Impediment,16
1401,2/15/2018,COLLISION WITH INJURY,7
1402,2/15/2018,TRFC HAZD/ DEBRIS,6
1403,2/15/2018,zSTALLED VEHICLE,5
1404,2/15/2018,COLLISN/ LVNG SCN,3
1405,2/15/2018,LOOSE LIVESTOCK,2
1406,2/15/2018,COLLISION/PRIVATE PROPERTY,1
1407,2/16/2018,Traffic Hazard,73
1408,2/16/2018,Crash Urgent,38
1409,2/16/2018,Crash Service,21
1410,2/16/2018,Traffic Impediment,15
1411,2/16/2018,TRFC HAZD/ DEBRIS,14
1412,2/16/2018,zSTALLED VEHICLE,11
1413,2/16/2018,COLLISION WITH INJURY,9
1414,2/16/2018,COLLISION,8
1415,2/16/2018,LOOSE LIVESTOCK,4
1416,2/16/2018,COLLISN/ LVNG SCN,3
1417,2/17/2018,Traffic Hazard,51
1418,2/17/2018,Crash Urgent,38
1419,2/17/2018,Crash Service,30
1420,2/17/2018,Traffic Impediment,18
1421,2/17/2018,COLLISION,7
1422,2/17/2018,COLLISION WITH INJURY,7
1423,2/17/2018,TRFC HAZD/ DEBRIS,6
1424,2/17/2018,COLLISN/ LVNG SCN,3
1425,2/17/2018,zSTALLED VEHICLE,2
1426,2/17/2018,LOOSE LIVESTOCK,1
1427,2/18/2018,Crash Urgent,34
1428,2/18/2018,Traffic Hazard,33
1429,2/18/2018,Crash Service,17
1430,2/18/2018,zSTALLED VEHICLE,8
1431,2/18/2018,COLLISION,7
1432,2/18/2018,Traffic Impediment,7
1433,2/18/2018,TRFC HAZD/ DEBRIS,5
1434,2/18/2018,COLLISN/ LVNG SCN,4
1435,2/18/2018,COLLISION WITH INJURY,3
1436,2/18/2018,COLLISION/PRIVATE PROPERTY,3
1437,2/18/2018,LOOSE LIVESTOCK,3
1438,2/19/2018,Traffic Hazard,67
1439,2/19/2018,Crash Urgent,30
1440,2/19/2018,Crash Service,21
1441,2/19/2018,Traffic Impediment,17
1442,2/19/2018,zSTALLED VEHICLE,11
1443,2/19/2018,TRFC HAZD/ DEBRIS,8
1444,2/19/2018,COLLISION,7
1445,2/19/2018,LOOSE LIVESTOCK,5
1446,2/19/2018,COLLISION WITH INJURY,3
1447,2/19/2018,COLLISION/PRIVATE PROPERTY,2
1448,2/2/2018,Traffic Hazard,75
1449,2/2/2018,Crash Urgent,65
1450,2/2/2018,Crash Service,30
1451,2/2/2018,Traffic Impediment,24
1452,2/2/2018,zSTALLED VEHICLE,12
1453,2/2/2018,TRFC HAZD/ DEBRIS,10
1454,2/2/2018,COLLISION WITH INJURY,7
1455,2/2/2018,COLLISION,5
1456,2/2/2018,COLLISN/ LVNG SCN,3
1457,2/2/2018,LOOSE LIVESTOCK,1
1458,2/20/2018,Traffic Hazard,32
1459,2/20/2018,Crash Urgent,27
1460,2/20/2018,Crash Service,23
1461,2/20/2018,Traffic Impediment,10
1462,2/20/2018,TRFC HAZD/ DEBRIS,8
1463,2/20/2018,COLLISION,7
1464,2/20/2018,LOOSE LIVESTOCK,4
1465,2/20/2018,zSTALLED VEHICLE,3
1466,2/20/2018,COLLISION WITH INJURY,1
1467,2/20/2018,COLLISN/ LVNG SCN,1
1468,2/20/2018,TRAFFIC FATALITY,1
1469,2/21/2018,Crash Urgent,42
1470,2/21/2018,Traffic Hazard,33
1471,2/21/2018,Crash Service,24
1472,2/21/2018,COLLISION,20
1473,2/21/2018,Traffic Impediment,12
1474,2/21/2018,zSTALLED VEHICLE,10
1475,2/21/2018,TRFC HAZD/ DEBRIS,8
1476,2/21/2018,LOOSE LIVESTOCK,3
1477,2/21/2018,COLLISION WITH INJURY,1
1478,2/21/2018,COLLISN/ LVNG SCN,1
1479,2/22/2018,Crash Urgent,37
1480,2/22/2018,Crash Service,23
1481,2/22/2018,Traffic Hazard,20
1482,2/22/2018,Traffic Impediment,14
1483,2/22/2018,TRFC HAZD/ DEBRIS,7
1484,2/22/2018,zSTALLED VEHICLE,7
1485,2/22/2018,COLLISION WITH INJURY,6
1486,2/22/2018,COLLISION,5
1487,2/22/2018,COLLISN/ LVNG SCN,2
1488,2/22/2018,LOOSE LIVESTOCK,1
1489,2/23/2018,Crash Urgent,42
1490,2/23/2018,Crash Service,33
1491,2/23/2018,Traffic Hazard,28
1492,2/23/2018,Traffic Impediment,12
1493,2/23/2018,TRFC HAZD/ DEBRIS,10
1494,2/23/2018,COLLISION,9
1495,2/23/2018,zSTALLED VEHICLE,8
1496,2/23/2018,COLLISION WITH INJURY,5
1497,2/23/2018,LOOSE LIVESTOCK,3
1498,2/23/2018,COLLISION/PRIVATE PROPERTY,1
1499,2/24/2018,Traffic Hazard,47
1500,2/24/2018,Crash Urgent,29
1501,2/24/2018,Crash Service,18
1502,2/24/2018,Traffic Impediment,13
1503,2/24/2018,zSTALLED VEHICLE,10
1504,2/24/2018,COLLISION,9
1505,2/24/2018,LOOSE LIVESTOCK,7
1506,2/24/2018,TRFC HAZD/ DEBRIS,7
1507,2/24/2018,COLLISN/ LVNG SCN,5
1508,2/24/2018,BLOCKED DRIV/ HWY,2
1509,2/24/2018,COLLISION WITH INJURY,2
1510,2/25/2018,Crash Urgent,24
1511,2/25/2018,Traffic Hazard,23
1512,2/25/2018,Crash Service,21
1513,2/25/2018,COLLISION,12
1514,2/25/2018,Traffic Impediment,9
1515,2/25/2018,TRFC HAZD/ DEBRIS,8
1516,2/25/2018,COLLISION WITH INJURY,5
1517,2/25/2018,LOOSE LIVESTOCK,5
1518,2/25/2018,zSTALLED VEHICLE,4
1519,2/25/2018,COLLISN/ LVNG SCN,2
1520,2/26/2018,Traffic Hazard,38
1521,2/26/2018,Crash Urgent,30
1522,2/26/2018,Crash Service,18
1523,2/26/2018,COLLISION,8
1524,2/26/2018,TRFC HAZD/ DEBRIS,7
1525,2/26/2018,Traffic Impediment,7
1526,2/26/2018,LOOSE LIVESTOCK,5
1527,2/26/2018,zSTALLED VEHICLE,4
1528,2/26/2018,COLLISN/ LVNG SCN,2
1529,2/26/2018,COLLISION WITH INJURY,1
1530,2/26/2018,VEHICLE FIRE,1
1531,2/27/2018,Crash Urgent,27
1532,2/27/2018,Traffic Hazard,26
1533,2/27/2018,Crash Service,18
1534,2/27/2018,Traffic Impediment,9
1535,2/27/2018,COLLISION,6
1536,2/27/2018,COLLISN/ LVNG SCN,4
1537,2/27/2018,TRFC HAZD/ DEBRIS,3
1538,2/27/2018,COLLISION WITH INJURY,2
1539,2/27/2018,COLLISION/PRIVATE PROPERTY,1
1540,2/27/2018,LOOSE LIVESTOCK,1
1541,2/27/2018,VEHICLE FIRE,1
1542,2/28/2018,Traffic Hazard,45
1543,2/28/2018,Crash Urgent,24
1544,2/28/2018,Crash Service,15
1545,2/28/2018,Traffic Impediment,10
1546,2/28/2018,COLLISION,8
1547,2/28/2018,TRFC HAZD/ DEBRIS,8
1548,2/28/2018,zSTALLED VEHICLE,4
1549,2/28/2018,COLLISION WITH INJURY,3
1550,2/28/2018,COLLISN/ LVNG SCN,2
1551,2/28/2018,LOOSE LIVESTOCK,2
1552,2/3/2018,Traffic Hazard,40
1553,2/3/2018,Crash Urgent,31
1554,2/3/2018,Crash Service,29
1555,2/3/2018,Traffic Impediment,12
1556,2/3/2018,COLLISION,8
1557,2/3/2018,zSTALLED VEHICLE,8
1558,2/3/2018,COLLISION WITH INJURY,5
1559,2/3/2018,LOOSE LIVESTOCK,4
1560,2/3/2018,TRFC HAZD/ DEBRIS,4
1561,2/3/2018,COLLISN/ LVNG SCN,2
1562,2/4/2018,Traffic Hazard,52
1563,2/4/2018,Crash Urgent,34
1564,2/4/2018,Crash Service,31
1565,2/4/2018,TRFC HAZD/ DEBRIS,9
1566,2/4/2018,COLLISION,7
1567,2/4/2018,COLLISION WITH INJURY,6
1568,2/4/2018,Traffic Impediment,6
1569,2/4/2018,zSTALLED VEHICLE,4
1570,2/4/2018,COLLISN/ LVNG SCN,3
1571,2/5/2018,Traffic Hazard,63
1572,2/5/2018,Crash Urgent,42
1573,2/5/2018,Crash Service,24
1574,2/5/2018,TRFC HAZD/ DEBRIS,15
1575,2/5/2018,Traffic Impediment,12
1576,2/5/2018,COLLISION,9
1577,2/5/2018,zSTALLED VEHICLE,7
1578,2/5/2018,COLLISN/ LVNG SCN,4
1579,2/5/2018,COLLISION WITH INJURY,3
1580,2/5/2018,LOOSE LIVESTOCK,2
1581,2/6/2018,Crash Urgent,56
1582,2/6/2018,Traffic Hazard,43
1583,2/6/2018,Crash Service,38
1584,2/6/2018,Traffic Impediment,21
1585,2/6/2018,COLLISION,20
1586,2/6/2018,zSTALLED VEHICLE,9
1587,2/6/2018,TRFC HAZD/ DEBRIS,8
1588,2/6/2018,COLLISION WITH INJURY,7
1589,2/6/2018,COLLISN/ LVNG SCN,5
1590,2/6/2018,LOOSE LIVESTOCK,2
1591,2/6/2018,COLLISION/PRIVATE PROPERTY,1
1592,2/6/2018,VEHICLE FIRE,1
1593,2/7/2018,Traffic Hazard,63
1594,2/7/2018,Crash Service,32
1595,2/7/2018,Crash Urgent,23
1596,2/7/2018,Traffic Impediment,14
1597,2/7/2018,COLLISION,11
1598,2/7/2018,TRFC HAZD/ DEBRIS,9
1599,2/7/2018,zSTALLED VEHICLE,9
1600,2/7/2018,COLLISION WITH INJURY,3
1601,2/7/2018,COLLISN/ LVNG SCN,2
1602,2/7/2018,COLLISION/PRIVATE PROPERTY,1
1603,2/7/2018,LOOSE LIVESTOCK,1
1604,2/7/2018,VEHICLE FIRE,1
1605,2/8/2018,Crash Urgent,60
1606,2/8/2018,Traffic Hazard,51
1607,2/8/2018,Crash Service,32
1608,2/8/2018,Traffic Impediment,26
1609,2/8/2018,COLLISION,11
1610,2/8/2018,zSTALLED VEHICLE,11
1611,2/8/2018,TRFC HAZD/ DEBRIS,10
1612,2/8/2018,COLLISION WITH INJURY,6
1613,2/8/2018,LOOSE LIVESTOCK,2
1614,2/8/2018,COLLISION/PRIVATE PROPERTY,1
1615,2/9/2018,Crash Urgent,57
1616,2/9/2018,Traffic Hazard,47
1617,2/9/2018,Crash Service,32
1618,2/9/2018,COLLISION,18
1619,2/9/2018,Traffic Impediment,15
1620,2/9/2018,zSTALLED VEHICLE,12
1621,2/9/2018,COLLISION WITH INJURY,8
1622,2/9/2018,TRFC HAZD/ DEBRIS,7
1623,2/9/2018,LOOSE LIVESTOCK,3
1624,2/9/2018,COLLISN/ LVNG SCN,2
1625,2/9/2018,BLOCKED DRIV/ HWY,1
1626,3/1/2018,Traffic Hazard,41
1627,3/1/2018,Crash Urgent,29
1628,3/1/2018,Crash Service,16
1629,3/1/2018,COLLISION,11
1630,3/1/2018,Traffic Impediment,9
1631,3/1/2018,TRFC HAZD/ DEBRIS,6
1632,3/1/2018,COLLISN/ LVNG SCN,4
1633,3/1/2018,LOOSE LIVESTOCK,4
1634,3/1/2018,COLLISION WITH INJURY,3
1635,3/1/2018,zSTALLED VEHICLE,3
1636,3/1/2018,VEHICLE FIRE,1
1637,3/10/2018,Traffic Hazard,65
1638,3/10/2018,Crash Urgent,46
1639,3/10/2018,Crash Service,34
1640,3/10/2018,Traffic Impediment,20
1641,3/10/2018,COLLISION WITH INJURY,16
1642,3/10/2018,COLLISION,13
1643,3/10/2018,TRFC HAZD/ DEBRIS,12
1644,3/10/2018,COLLISN/ LVNG SCN,8
1645,3/10/2018,zSTALLED VEHICLE,8
1646,3/10/2018,LOOSE LIVESTOCK,7
1647,3/10/2018,BLOCKED DRIV/ HWY,1
1648,3/10/2018,VEHICLE FIRE,1
1649,3/11/2018,Traffic Hazard,62
1650,3/11/2018,Crash Urgent,32
1651,3/11/2018,Crash Service,29
1652,3/11/2018,zSTALLED VEHICLE,13
1653,3/11/2018,COLLISION,9
1654,3/11/2018,TRFC HAZD/ DEBRIS,9
1655,3/11/2018,Traffic Impediment,8
1656,3/11/2018,COLLISION WITH INJURY,5
1657,3/11/2018,LOOSE LIVESTOCK,4
1658,3/11/2018,COLLISN/ LVNG SCN,3
1659,3/11/2018,BOAT ACCIDENT,1
1660,3/12/2018,Traffic Hazard,70
1661,3/12/2018,Crash Urgent,41
1662,3/12/2018,Crash Service,36
1663,3/12/2018,Traffic Impediment,16
1664,3/12/2018,COLLISION,10
1665,3/12/2018,TRFC HAZD/ DEBRIS,7
1666,3/12/2018,zSTALLED VEHICLE,7
1667,3/12/2018,COLLISION WITH INJURY,4
1668,3/12/2018,COLLISN/ LVNG SCN,3
1669,3/12/2018,LOOSE LIVESTOCK,3
1670,3/13/2018,Traffic Hazard,53
1671,3/13/2018,Crash Urgent,33
1672,3/13/2018,Crash Service,20
1673,3/13/2018,TRFC HAZD/ DEBRIS,15
1674,3/13/2018,Traffic Impediment,14
1675,3/13/2018,COLLISION,7
1676,3/13/2018,COLLISION WITH INJURY,5
1677,3/13/2018,zSTALLED VEHICLE,3
1678,3/13/2018,COLLISN/ LVNG SCN,2
1679,3/13/2018,LOOSE LIVESTOCK,2
1680,3/13/2018,BLOCKED DRIV/ HWY,1
1681,3/13/2018,COLLISION/PRIVATE PROPERTY,1
1682,3/14/2018,Crash Urgent,47
1683,3/14/2018,Traffic Hazard,44
1684,3/14/2018,Crash Service,31
1685,3/14/2018,Traffic Impediment,19
1686,3/14/2018,TRFC HAZD/ DEBRIS,13
1687,3/14/2018,COLLISION,9
1688,3/14/2018,zSTALLED VEHICLE,8
1689,3/14/2018,LOOSE LIVESTOCK,7
1690,3/14/2018,COLLISN/ LVNG SCN,6
1691,3/14/2018,COLLISION WITH INJURY,1
1692,3/15/2018,Traffic Hazard,71
1693,3/15/2018,Crash Urgent,43
1694,3/15/2018,Crash Service,21
1695,3/15/2018,Traffic Impediment,14
1696,3/15/2018,TRFC HAZD/ DEBRIS,12
1697,3/15/2018,COLLISION,7
1698,3/15/2018,COLLISION WITH INJURY,7
1699,3/15/2018,LOOSE LIVESTOCK,7
1700,3/15/2018,zSTALLED VEHICLE,6
1701,3/15/2018,COLLISN/ LVNG SCN,2
1702,3/15/2018,COLLISION/PRIVATE PROPERTY,1
1703,3/15/2018,VEHICLE FIRE,1
1704,3/16/2018,Traffic Hazard,69
1705,3/16/2018,Crash Urgent,65
1706,3/16/2018,Crash Service,42
1707,3/16/2018,Traffic Impediment,26
1708,3/16/2018,TRFC HAZD/ DEBRIS,16
1709,3/16/2018,COLLISION WITH INJURY,15
1710,3/16/2018,COLLISION,10
1711,3/16/2018,zSTALLED VEHICLE,10
1712,3/16/2018,LOOSE LIVESTOCK,7
1713,3/16/2018,COLLISN/ LVNG SCN,5
1714,3/16/2018,FLEET ACC/ INJURY,2
1715,3/16/2018,VEHICLE FIRE,1
1716,3/17/2018,Traffic Hazard,61
1717,3/17/2018,Crash Urgent,42
1718,3/17/2018,Crash Service,23
1719,3/17/2018,Traffic Impediment,22
1720,3/17/2018,COLLISION,10
1721,3/17/2018,TRFC HAZD/ DEBRIS,10
1722,3/17/2018,zSTALLED VEHICLE,7
1723,3/17/2018,LOOSE LIVESTOCK,4
1724,3/17/2018,COLLISION WITH INJURY,3
1725,3/17/2018,COLLISN/ LVNG SCN,2
1726,3/17/2018,TRAFFIC FATALITY,1
1727,3/18/2018,Traffic Hazard,41
1728,3/18/2018,Crash Service,40
1729,3/18/2018,Crash Urgent,40
1730,3/18/2018,Traffic Impediment,13
1731,3/18/2018,COLLISION,11
1732,3/18/2018,TRFC HAZD/ DEBRIS,11
1733,3/18/2018,COLLISION WITH INJURY,10
1734,3/18/2018,COLLISN/ LVNG SCN,4
1735,3/18/2018,LOOSE LIVESTOCK,2
1736,3/18/2018,zSTALLED VEHICLE,2
1737,3/19/2018,Traffic Hazard,51
1738,3/19/2018,Crash Urgent,44
1739,3/19/2018,Crash Service,39
1740,3/19/2018,TRFC HAZD/ DEBRIS,17
1741,3/19/2018,Traffic Impediment,17
1742,3/19/2018,COLLISION,13
1743,3/19/2018,zSTALLED VEHICLE,8
1744,3/19/2018,COLLISION WITH INJURY,7
1745,3/19/2018,LOOSE LIVESTOCK,5
1746,3/19/2018,COLLISN/ LVNG SCN,3
1747,3/19/2018,VEHICLE FIRE,1
1748,3/2/2018,Traffic Hazard,47
1749,3/2/2018,Crash Urgent,40
1750,3/2/2018,Crash Service,29
1751,3/2/2018,Traffic Impediment,13
1752,3/2/2018,TRFC HAZD/ DEBRIS,10
1753,3/2/2018,COLLISION,7
1754,3/2/2018,zSTALLED VEHICLE,7
1755,3/2/2018,COLLISION WITH INJURY,6
1756,3/2/2018,COLLISN/ LVNG SCN,1
1757,3/2/2018,LOOSE LIVESTOCK,1
1758,3/20/2018,Traffic Hazard,69
1759,3/20/2018,Crash Urgent,51
1760,3/20/2018,Crash Service,33
1761,3/20/2018,Traffic Impediment,27
1762,3/20/2018,TRFC HAZD/ DEBRIS,20
1763,3/20/2018,COLLISION,13
1764,3/20/2018,zSTALLED VEHICLE,8
1765,3/20/2018,COLLISION WITH INJURY,6
1766,3/20/2018,COLLISN/ LVNG SCN,2
1767,3/20/2018,FLEET ACC/ INJURY,1
1768,3/20/2018,LOOSE LIVESTOCK,1
1769,3/21/2018,Traffic Hazard,63
1770,3/21/2018,Crash Urgent,48
1771,3/21/2018,Crash Service,26
1772,3/21/2018,Traffic Impediment,24
1773,3/21/2018,TRFC HAZD/ DEBRIS,18
1774,3/21/2018,COLLISION,16
1775,3/21/2018,zSTALLED VEHICLE,10
1776,3/21/2018,LOOSE LIVESTOCK,9
1777,3/21/2018,COLLISION WITH INJURY,5
1778,3/21/2018,COLLISN/ LVNG SCN,3
1779,3/21/2018,COLLISION/PRIVATE PROPERTY,1
1780,3/22/2018,Traffic Hazard,75
1781,3/22/2018,Crash Urgent,53
1782,3/22/2018,Crash Service,39
1783,3/22/2018,COLLISION,19
1784,3/22/2018,TRFC HAZD/ DEBRIS,18
1785,3/22/2018,Traffic Impediment,17
1786,3/22/2018,zSTALLED VEHICLE,10
1787,3/22/2018,COLLISION WITH INJURY,4
1788,3/23/2018,Traffic Hazard,82
1789,3/23/2018,Crash Urgent,61
1790,3/23/2018,Crash Service,32
1791,3/23/2018,COLLISION,19
1792,3/23/2018,Traffic Impediment,13
1793,3/23/2018,zSTALLED VEHICLE,13
1794,3/23/2018,TRFC HAZD/ DEBRIS,12
1795,3/23/2018,LOOSE LIVESTOCK,9
1796,3/23/2018,COLLISION WITH INJURY,6
1797,3/23/2018,COLLISN/ LVNG SCN,3
1798,3/24/2018,Traffic Hazard,65
1799,3/24/2018,Crash Urgent,38
1800,3/24/2018,Crash Service,23
1801,3/24/2018,Traffic Impediment,14
1802,3/24/2018,zSTALLED VEHICLE,11
1803,3/24/2018,COLLISION,9
1804,3/24/2018,TRFC HAZD/ DEBRIS,9
1805,3/24/2018,COLLISN/ LVNG SCN,7
1806,3/24/2018,LOOSE LIVESTOCK,3
1807,3/24/2018,COLLISION WITH INJURY,2
1808,3/24/2018,VEHICLE FIRE,1
1809,3/25/2018,Traffic Hazard,43
1810,3/25/2018,Crash Urgent,38
1811,3/25/2018,Crash Service,28
1812,3/25/2018,Traffic Impediment,22
1813,3/25/2018,COLLISION,11
1814,3/25/2018,zSTALLED VEHICLE,6
1815,3/25/2018,COLLISION WITH INJURY,5
1816,3/25/2018,LOOSE LIVESTOCK,4
1817,3/25/2018,COLLISN/ LVNG SCN,3
1818,3/25/2018,TRFC HAZD/ DEBRIS,2
1819,3/25/2018,BOAT ACCIDENT,1
1820,3/26/2018,Traffic Hazard,64
1821,3/26/2018,Crash Urgent,46
1822,3/26/2018,Crash Service,34
1823,3/26/2018,Traffic Impediment,15
1824,3/26/2018,TRFC HAZD/ DEBRIS,12
1825,3/26/2018,COLLISION WITH INJURY,11
1826,3/26/2018,zSTALLED VEHICLE,10
1827,3/26/2018,LOOSE LIVESTOCK,7
1828,3/26/2018,COLLISION,6
1829,3/26/2018,COLLISN/ LVNG SCN,2
1830,3/27/2018,Traffic Hazard,68
1831,3/27/2018,Crash Urgent,52
1832,3/27/2018,Crash Service,34
1833,3/27/2018,COLLISION,19
1834,3/27/2018,Traffic Impediment,16
1835,3/27/2018,zSTALLED VEHICLE,14
1836,3/27/2018,TRFC HAZD/ DEBRIS,10
1837,3/27/2018,COLLISION WITH INJURY,7
1838,3/27/2018,LOOSE LIVESTOCK,6
1839,3/27/2018,COLLISN/ LVNG SCN,5
