,Date,Issue_Reported,Number_of_Incidents
321,1/9/2018,COLLISION,18
322,1/9/2018,Traffic Impediment,14
323,1/9/2018,TRFC HAZD/ DEBRIS,13
324,1/9/2018,zSTALLED VEHICLE,8
325,1/9/2018,COLLISN/ LVNG SCN,7
326,1/9/2018,COLLISION WITH INJURY,5
327,1/9/2018,LOOSE LIVESTOCK,5
328,1/9/2018,COLLISION/PRIVATE PROPERTY,1
329,1/9/2018,VEHICLE FIRE,1
330,10/1/2017,Traffic Hazard,24
331,10/1/2017,Crash Urgent,20
332,10/1/2017,Crash Service,16
333,10/1/2017,COLLISION WITH INJURY,6
334,10/1/2017,COLLISION,4
335,10/1/2017,Traffic Impediment,4
336,10/1/2017,TRFC HAZD/ DEBRIS,2
337,10/1/2017,COLLISN/ LVNG SCN,1
338,10/1/2017,LOOSE LIVESTOCK,1
339,10/1/2017,zSTALLED VEHICLE,1
340,10/10/2017,Traffic Hazard,10
341,10/10/2017,Crash Service,7
342,10/10/2017,Crash Urgent,6
343,10/10/2017,Traffic Impediment,3
344,10/10/2017,COLLISION WITH INJURY,1
345,10/10/2017,COLLISN/ LVNG SCN,1
346,10/10/2017,LOOSE LIVESTOCK,1
347,10/10/2017,TRFC HAZD/ DEBRIS,1
348,10/10/2017,zSTALLED VEHICLE,1
349,10/11/2017,Traffic Hazard,3
350,10/11/2017,Crash Service,2
351,10/11/2017,Crash Urgent,2
352,10/11/2017,Traffic Impediment,2
353,10/11/2017,COLLISION,1
354,10/12/2017,Crash Urgent,38
355,10/12/2017,Traffic Hazard,28
356,10/12/2017,Crash Service,19
357,10/12/2017,Traffic Impediment,11
358,10/12/2017,TRFC HAZD/ DEBRIS,7
359,10/12/2017,LOOSE LIVESTOCK,5
360,10/12/2017,COLLISION WITH INJURY,4
361,10/12/2017,COLLISION,3
362,10/12/2017,zSTALLED VEHICLE,3
363,10/13/2017,Traffic Hazard,77
364,10/13/2017,Crash Urgent,56
365,10/13/2017,Crash Service,39
366,10/13/2017,TRFC HAZD/ DEBRIS,17
367,10/13/2017,Traffic Impediment,17
368,10/13/2017,COLLISION,13
369,10/13/2017,zSTALLED VEHICLE,13
370,10/13/2017,COLLISION WITH INJURY,8
371,10/13/2017,COLLISN/ LVNG SCN,2
372,10/13/2017,VEHICLE FIRE,2
373,10/13/2017,COLLISION/PRIVATE PROPERTY,1
374,10/13/2017,LOOSE LIVESTOCK,1
375,10/14/2017,Traffic Hazard,45
376,10/14/2017,Crash Service,37
377,10/14/2017,Crash Urgent,31
378,10/14/2017,Traffic Impediment,14
379,10/14/2017,COLLISION,13
380,10/14/2017,TRFC HAZD/ DEBRIS,9
381,10/14/2017,zSTALLED VEHICLE,7
382,10/14/2017,COLLISION WITH INJURY,6
383,10/14/2017,COLLISN/ LVNG SCN,4
384,10/14/2017,VEHICLE FIRE,3
385,10/14/2017,LOOSE LIVESTOCK,1
386,10/15/2017,Traffic Hazard,44
387,10/15/2017,Crash Urgent,35
388,10/15/2017,Crash Service,21
389,10/15/2017,Traffic Impediment,13
390,10/15/2017,TRFC HAZD/ DEBRIS,10
391,10/15/2017,COLLISION,7
392,10/15/2017,COLLISION WITH INJURY,6
393,10/15/2017,LOOSE LIVESTOCK,3
394,10/15/2017,COLLISN/ LVNG SCN,2
395,10/15/2017,zSTALLED VEHICLE,2
396,10/16/2017,Traffic Hazard,56
397,10/16/2017,Crash Urgent,45
398,10/16/2017,Crash Service,31
399,10/16/2017,Traffic Impediment,19
400,10/16/2017,TRFC HAZD/ DEBRIS,17
401,10/16/2017,COLLISION,10
402,10/16/2017,zSTALLED VEHICLE,8
403,10/16/2017,COLLISION WITH INJURY,5
404,10/16/2017,COLLISN/ LVNG SCN,3
405,10/16/2017,LOOSE LIVESTOCK,1
406,10/16/2017,VEHICLE FIRE,1
407,10/17/2017,Traffic Hazard,64
408,10/17/2017,Crash Urgent,53
409,10/17/2017,Crash Service,38
410,10/17/2017,Traffic Impediment,18
411,10/17/2017,TRFC HAZD/ DEBRIS,14
412,10/17/2017,COLLISION,11
413,10/17/2017,zSTALLED VEHICLE,9
414,10/17/2017,COLLISION WITH INJURY,7
415,10/17/2017,LOOSE LIVESTOCK,5
416,10/17/2017,COLLISN/ LVNG SCN,3
417,10/17/2017,VEHICLE FIRE,2
418,10/17/2017,BOAT ACCIDENT,1
419,10/17/2017,COLLISION/PRIVATE PROPERTY,1
420,10/18/2017,Traffic Hazard,32
421,10/18/2017,Crash Service,15
422,10/18/2017,Crash Urgent,15
423,10/18/2017,Traffic Impediment,11
424,10/18/2017,COLLISION WITH INJURY,6
425,10/18/2017,TRFC HAZD/ DEBRIS,6
426,10/18/2017,zSTALLED VEHICLE,6
427,10/18/2017,COLLISION,5
428,10/18/2017,LOOSE LIVESTOCK,2
429,10/18/2017,COLLISN/ LVNG SCN,1
430,10/19/2017,Traffic Hazard,29
431,10/19/2017,Crash Urgent,28
432,10/19/2017,Crash Service,19
433,10/19/2017,Traffic Impediment,12
434,10/19/2017,COLLISION,11
435,10/19/2017,TRFC HAZD/ DEBRIS,8
436,10/19/2017,zSTALLED VEHICLE,5
437,10/19/2017,COLLISION WITH INJURY,3
438,10/19/2017,COLLISION/PRIVATE PROPERTY,2
439,10/19/2017,VEHICLE FIRE,2
440,10/19/2017,COLLISN/ LVNG SCN,1
441,10/2/2017,Traffic Hazard,42
442,10/2/2017,Crash Urgent,22
443,10/2/2017,Crash Service,20
444,10/2/2017,COLLISION,8
445,10/2/2017,TRFC HAZD/ DEBRIS,7
446,10/2/2017,Traffic Impediment,4
447,10/2/2017,zSTALLED VEHICLE,3
448,10/2/2017,COLLISION WITH INJURY,2
449,10/2/2017,BOAT ACCIDENT,1
450,10/20/2017,Traffic Hazard,74
451,10/20/2017,Crash Urgent,57
452,10/20/2017,Crash Service,51
453,10/20/2017,Traffic Impediment,16
454,10/20/2017,COLLISION,15
455,10/20/2017,TRFC HAZD/ DEBRIS,13
456,10/20/2017,LOOSE LIVESTOCK,8
457,10/20/2017,COLLISN/ LVNG SCN,5
458,10/20/2017,zSTALLED VEHICLE,5
459,10/20/2017,COLLISION WITH INJURY,2
460,10/20/2017,COLLISION/PRIVATE PROPERTY,1
461,10/21/2017,Traffic Hazard,59
462,10/21/2017,Crash Urgent,49
463,10/21/2017,Crash Service,28
464,10/21/2017,COLLISION,21
465,10/21/2017,Traffic Impediment,16
466,10/21/2017,TRFC HAZD/ DEBRIS,13
467,10/21/2017,COLLISION WITH INJURY,7
468,10/21/2017,LOOSE LIVESTOCK,5
469,10/21/2017,zSTALLED VEHICLE,4
470,10/21/2017,COLLISN/ LVNG SCN,3
471,10/21/2017,VEHICLE FIRE,1
472,10/22/2017,Traffic Hazard,56
473,10/22/2017,Crash Urgent,34
474,10/22/2017,Crash Service,29
475,10/22/2017,COLLISION,16
476,10/22/2017,TRFC HAZD/ DEBRIS,16
477,10/22/2017,COLLISION WITH INJURY,9
478,10/22/2017,Traffic Impediment,8
479,10/22/2017,COLLISN/ LVNG SCN,7
480,10/22/2017,zSTALLED VEHICLE,4
481,10/22/2017,LOOSE LIVESTOCK,3
482,10/22/2017,COLLISION/PRIVATE PROPERTY,1
483,10/22/2017,VEHICLE FIRE,1
484,10/23/2017,Traffic Hazard,72
485,10/23/2017,Crash Urgent,62
486,10/23/2017,Crash Service,32
487,10/23/2017,COLLISION,12
488,10/23/2017,TRFC HAZD/ DEBRIS,10
489,10/23/2017,COLLISION WITH INJURY,9
490,10/23/2017,Traffic Impediment,8
491,10/23/2017,zSTALLED VEHICLE,6
492,10/23/2017,COLLISN/ LVNG SCN,4
493,10/23/2017,LOOSE LIVESTOCK,2
494,10/23/2017,VEHICLE FIRE,1
495,10/24/2017,Traffic Hazard,76
496,10/24/2017,Crash Service,54
497,10/24/2017,Crash Urgent,41
498,10/24/2017,Traffic Impediment,15
499,10/24/2017,COLLISION,12
500,10/24/2017,TRFC HAZD/ DEBRIS,12
501,10/24/2017,zSTALLED VEHICLE,10
502,10/24/2017,COLLISION WITH INJURY,9
503,10/24/2017,COLLISN/ LVNG SCN,2
504,10/24/2017,LOOSE LIVESTOCK,2
505,10/25/2017,Crash Urgent,71
506,10/25/2017,Crash Service,53
507,10/25/2017,Traffic Hazard,39
508,10/25/2017,Traffic Impediment,22
509,10/25/2017,COLLISION,19
510,10/25/2017,TRFC HAZD/ DEBRIS,16
511,10/25/2017,zSTALLED VEHICLE,13
512,10/25/2017,COLLISION WITH INJURY,9
513,10/25/2017,LOOSE LIVESTOCK,6
514,10/25/2017,COLLISN/ LVNG SCN,2
515,10/25/2017,BLOCKED DRIV/ HWY,1
516,10/25/2017,COLLISION/PRIVATE PROPERTY,1
517,10/25/2017,VEHICLE FIRE,1
518,10/26/2017,Traffic Hazard,81
519,10/26/2017,Crash Urgent,69
520,10/26/2017,Crash Service,34
521,10/26/2017,Traffic Impediment,23
522,10/26/2017,COLLISION,19
523,10/26/2017,zSTALLED VEHICLE,15
524,10/26/2017,TRFC HAZD/ DEBRIS,14
525,10/26/2017,COLLISION WITH INJURY,12
526,10/26/2017,LOOSE LIVESTOCK,2
527,10/27/2017,Traffic Hazard,83
528,10/27/2017,Crash Service,40
529,10/27/2017,Crash Urgent,38
530,10/27/2017,TRFC HAZD/ DEBRIS,17
531,10/27/2017,COLLISION,14
532,10/27/2017,Traffic Impediment,14
533,10/27/2017,zSTALLED VEHICLE,9
534,10/27/2017,COLLISION WITH INJURY,6
535,10/27/2017,COLLISN/ LVNG SCN,3
536,10/27/2017,LOOSE LIVESTOCK,1
537,10/27/2017,VEHICLE FIRE,1
538,10/28/2017,Traffic Hazard,64
539,10/28/2017,Crash Urgent,41
540,10/28/2017,Crash Service,38
541,10/28/2017,Traffic Impediment,17
542,10/28/2017,TRFC HAZD/ DEBRIS,9
543,10/28/2017,COLLISION WITH INJURY,7
544,10/28/2017,COLLISN/ LVNG SCN,6
545,10/28/2017,COLLISION,4
546,10/28/2017,zSTALLED VEHICLE,4
547,10/28/2017,LOOSE LIVESTOCK,3
548,10/29/2017,Crash Urgent,40
549,10/29/2017,Traffic Hazard,32
550,10/29/2017,Crash Service,21
551,10/29/2017,COLLISION WITH INJURY,9
552,10/29/2017,Traffic Impediment,9
553,10/29/2017,COLLISION,8
554,10/29/2017,TRFC HAZD/ DEBRIS,7
555,10/29/2017,zSTALLED VEHICLE,5
556,10/29/2017,COLLISN/ LVNG SCN,4
557,10/29/2017,VEHICLE FIRE,1
558,10/3/2017,Crash Urgent,50
559,10/3/2017,Traffic Hazard,35
560,10/3/2017,Crash Service,22
561,10/3/2017,Traffic Impediment,14
562,10/3/2017,COLLISION,9
563,10/3/2017,COLLISION WITH INJURY,7
564,10/3/2017,zSTALLED VEHICLE,6
565,10/3/2017,LOOSE LIVESTOCK,5
566,10/3/2017,BLOCKED DRIV/ HWY,1
567,10/3/2017,COLLISN/ LVNG SCN,1
568,10/3/2017,TRFC HAZD/ DEBRIS,1
569,10/30/2017,Traffic Hazard,70
570,10/30/2017,Crash Urgent,51
571,10/30/2017,Crash Service,41
572,10/30/2017,Traffic Impediment,26
573,10/30/2017,COLLISION,13
574,10/30/2017,zSTALLED VEHICLE,12
575,10/30/2017,COLLISION WITH INJURY,9
576,10/30/2017,TRFC HAZD/ DEBRIS,9
577,10/30/2017,COLLISN/ LVNG SCN,3
578,10/30/2017,LOOSE LIVESTOCK,3
579,10/31/2017,Crash Urgent,78
580,10/31/2017,Traffic Hazard,71
581,10/31/2017,Crash Service,35
582,10/31/2017,COLLISION,25
583,10/31/2017,Traffic Impediment,20
584,10/31/2017,TRFC HAZD/ DEBRIS,14
585,10/31/2017,zSTALLED VEHICLE,12
586,10/31/2017,COLLISION WITH INJURY,10
587,10/31/2017,LOOSE LIVESTOCK,3
588,10/31/2017,VEHICLE FIRE,3
589,10/31/2017,COLLISN/ LVNG SCN,2
590,10/31/2017,BLOCKED DRIV/ HWY,1
591,10/4/2017,Traffic Hazard,23
592,10/4/2017,Crash Urgent,14
593,10/4/2017,Crash Service,13
594,10/4/2017,Traffic Impediment,8
595,10/4/2017,COLLISION,5
596,10/4/2017,zSTALLED VEHICLE,5
597,10/4/2017,COLLISION WITH INJURY,4
598,10/4/2017,TRFC HAZD/ DEBRIS,4
599,10/4/2017,COLLISN/ LVNG SCN,1
600,10/4/2017,LOOSE LIVESTOCK,1
601,10/4/2017,VEHICLE FIRE,1
602,10/5/2017,Traffic Hazard,22
