,curdatetime,day,day_of_week,detid,detname,direction,hour,int_id,intname,minute,month,occupancy,row_id,speed,timebin,volume,year
777,2017-10-21T17:45:01.000,21,6,49,NB_in,NB,17,16,N Lamar15th,45,10,7,003ee894b7a7b238343e2f998979e79e,35,17:45,142,2017
778,2017-10-30T09:15:00.000,30,1,78,WB_out,WB,9,20,CESAR CHAVEZIH 35 WSR,15,10,7,003f56e86a50cbd131fc4c096052aa58,23,09:15,95,2017
779,2017-11-03T15:30:00.000,3,5,86,NB_out,NB,15,22,LAMARCOLLIER,30,11,6,003f5a187f8d4a2862f14168529f5c06,34,15:30,130,2017
780,2017-09-22T12:30:01.000,22,5,3,SB_in,SB,12,1,LAMARMANCHACA,30,9,11,003f6058a6c0634134262ee89b2684aa,30,12:30,166,2017
781,2017-09-02T00:15:00.000,2,6,43,NB,NB,0,14,Robert E LeeBarton Springs,15,9,1,003f93000c384255b661a31643bca8cc,26,00:15,18,2017
782,2017-10-01T21:15:00.000,1,0,91,NB_in,NB,21,23,BURNETPALM WAY,15,10,1,003f9dd81cfc4504e8424a0563330c23,43,21:15,24,2017
783,2017-12-07T16:15:00.000,7,4,42,SB,SB,16,14,Robert E LeeBarton Springs,15,12,6,003fc0643af7442e64fc5b771919ac41,27,16:15,96,2017
784,2017-10-21T04:00:00.000,21,6,82,EB_out,EB,4,20,CESAR CHAVEZIH 35 WSR,0,10,1,003fcbd6089d55fc226624071f6c054d,19,04:00,4,2017
785,2017-09-28T08:00:00.000,28,4,63,Lane1,None,8,18,TOOMEYTEST,0,9,0,003fd6e71ac3f6a1fb9372c5509b9b4d,149,08:00,0,2017
786,2017-09-23T02:00:00.000,23,6,2,NB_in,NB,2,1,LAMARMANCHACA,0,9,0,003fd9554a2dc08bc0b8e640982d5bef,32,02:00,11,2017
787,2017-09-25T11:00:00.000,25,1,86,NB_out,NB,11,22,LAMARCOLLIER,0,9,5,003fda7c307f561a6be6d31ec2ede129,35,11:00,109,2017
788,2017-09-08T03:15:00.000,8,5,65,Lane3,None,3,18,TOOMEYTEST,15,9,0,003ff897830980a11ed423514f752271,149,03:15,0,2017
789,2017-09-24T03:15:00.000,24,0,3,SB_in,SB,3,1,LAMARMANCHACA,15,9,0,003ffd4349856b96ff8549ea1fc8716f,35,03:15,19,2017
790,2017-07-24T00:00:00.000,24,1,11,SB_in,SB,0,3,LAMARSHOALCREEK,0,7,1,0040294d86d6ea4e42a8459a04dfb6d3,29,00:00,21,2017
791,2017-11-13T03:45:00.000,13,1,1,NB_out,NB,3,1,LAMARMANCHACA,45,11,0,0040b1eaf76185a8614415423248413a,21,03:45,2,2017
792,2017-07-27T05:30:00.000,27,4,1,NB_out,NB,5,1,LAMARMANCHACA,30,7,0,0041288ec0cb576df1828de733dc983b,31,05:30,11,2017
793,2017-10-03T11:45:00.000,3,2,89,SB_Lturn,SB,11,23,BURNETPALM WAY,45,10,1,00413a294353dd8e7041f0f7e6937e49,21,11:45,16,2017
794,2017-10-26T23:00:00.000,26,4,14,SB_out,SB,23,4,CONGRESSBARTON SPRINGS,0,10,3,004155a8d0d0fd30a417f494b5792e5d,33,23:00,49,2017
795,2017-10-03T01:30:00.000,3,2,3,SB_in,SB,1,1,LAMARMANCHACA,30,10,0,0041707e50b174a96667821bdfca7ea5,36,01:30,15,2017
796,2017-10-19T17:15:01.000,19,4,80,EB_in,EB,17,20,CESAR CHAVEZIH 35 WSR,15,10,16,00417221b32da5a1501234b78b72b801,19,17:15,74,2017
797,2017-09-13T09:45:00.000,13,3,87,SB_out,SB,9,23,BURNETPALM WAY,45,9,6,00417d7c8fba8dc9b216c658b759ae2c,38,09:45,116,2017
798,2017-07-26T01:45:00.000,26,3,2,NB_in,NB,1,1,LAMARMANCHACA,45,7,0,0041ac1f43684eb02133c45115fe37ca,28,01:45,2,2017
799,2017-12-03T09:00:00.000,3,0,18,NB_out,NB,9,5,LAMARSANDRA MURAIDA,0,12,4,0041afa9cecf749ac2c15d64d23ab83f,34,09:00,84,2017
800,2017-08-08T03:00:00.000,8,2,5,NB_mid,NB,3,4,CONGRESSBARTON SPRINGS,0,8,0,0041e6e0fbc7a7a902d523a940b27375,36,03:00,8,2017
801,2017-10-14T06:30:01.000,14,6,15,SB_mid,SB,6,4,CONGRESSBARTON SPRINGS,30,10,0,0041fb0d522769ee054da35cb39875b2,33,06:30,6,2017
802,2017-08-23T23:00:00.000,23,3,15,SB_mid,SB,23,4,CONGRESSBARTON SPRINGS,0,8,2,004202521245add9a6bd4ca15d955368,34,23:00,48,2017
803,2017-09-18T13:45:00.000,18,1,43,NB,NB,13,14,Robert E LeeBarton Springs,45,9,6,00421e8fd83060a014b2599cb8702e10,23,13:45,71,2017
804,2017-11-10T18:15:00.000,10,5,15,SB_mid,SB,18,4,CONGRESSBARTON SPRINGS,15,11,33,004229cdbf817bfc0be9de939e066ed6,12,18:15,102,2017
805,2017-10-14T02:15:00.000,14,6,92,NB_out,NB,2,24,LOOP 360LAKEWOOD,15,10,0,00423d91640db4fa3e0aa79c3ae65d4b,59,02:15,9,2017
806,2017-10-02T08:15:00.000,2,1,51,SB_out,SB,8,16,N Lamar15th,15,10,7,0042449656ea4c04b531b0d770c206b0,36,08:15,122,2017
807,2017-09-04T18:30:00.000,4,1,47,WB_out,WB,18,15,Cesar ChavezBR Reynolds,30,9,3,00426721965a9af794e94ec3d14e5124,43,18:30,89,2017
808,2017-09-08T18:15:00.000,8,5,71,SB_in,SB,18,11,BurnetRutland,15,9,7,0042a0bebeaa3815bc26c53f74872122,39,18:15,142,2017
809,2017-09-04T02:30:00.000,4,1,63,Lane1,None,2,18,TOOMEYTEST,30,9,0,0042b4cdca6c0c2424d4db231f4963a4,149,02:30,0,2017
810,2017-08-24T01:45:00.000,24,4,18,NB_out,NB,1,5,LAMARSANDRA MURAIDA,45,8,0,0042c4382f2ce087a9b825515aa01cb9,35,01:45,18,2017
811,2017-12-02T05:15:00.000,2,6,57,SB_mid,SB,5,8,LOOP 360WALSH TARLTON,15,12,0,0042db6697d8dd424fcec92c89db6083,59,05:15,5,2017
812,2017-07-31T06:45:00.000,31,1,5,NB_mid,NB,6,4,CONGRESSBARTON SPRINGS,45,7,1,0042f4ea886ff1c7f9d146b0b8236d74,40,06:45,25,2017
813,2017-12-13T13:15:00.000,13,3,93,NB_in,NB,13,24,LOOP 360LAKEWOOD,15,12,11,00430084b555e9db5cf756777085fdea,43,13:15,233,2017
814,2017-09-17T00:15:00.000,17,0,95,SB_in,SB,0,24,LOOP 360LAKEWOOD,15,9,0,0043047a608ce6470461aab1ca3aa29b,149,00:15,2,2017
815,2017-10-09T23:15:00.000,9,1,10,SB_out,SB,23,3,LAMARSHOALCREEK,15,10,0,00431ebdd2e5aca30a288d5333403f58,32,23:15,18,2017
816,2017-06-19T04:15:00.000,19,1,21,SB_out,SB,4,5,LAMARSANDRA MURAIDA,15,6,0,00432040a26fd2f4458f3c0aea8a5de4,35,04:15,2,2017
817,2017-11-02T01:30:00.000,2,4,48,NB_out,NB,1,16,N Lamar15th,30,11,0,00433197b84d12aba5af058a90c2bd35,38,01:30,11,2017
818,2017-11-15T12:30:00.000,15,3,53,SB_in,SB,12,17,CongressJohanna,30,11,6,0043401adac1b5fbbf0e13edb55b6002,28,12:30,102,2017
819,2017-11-22T20:45:00.000,22,3,68,NB_out,NB,20,11,BurnetRutland,45,11,2,00434fa5b3be0086c66f8a7bb8ce1f8f,39,20:45,46,2017
820,2017-11-10T01:45:00.000,10,5,72,SB_out,SB,1,11,BurnetRutland,45,11,0,00436ce2107aaa8f7e9ea57c38407d14,47,01:45,5,2017
821,2017-09-18T16:15:01.000,18,1,79,WB_in,WB,16,20,CESAR CHAVEZIH 35 WSR,15,9,2,00436d22b14dfd569073345d003ab3ec,24,16:15,32,2017
822,2017-10-31T18:15:00.000,31,2,51,SB_out,SB,18,16,N Lamar15th,15,10,36,0043727134701ec032d898a3e8299e68,5,18:15,70,2017
823,2017-09-05T12:15:01.000,5,2,45,EB_in,EB,12,15,Cesar ChavezBR Reynolds,15,9,5,004387d627f3615c7567c0cc05759249,42,12:15,138,2017
824,2017-08-07T20:30:00.000,7,1,19,NB_in,NB,20,5,LAMARSANDRA MURAIDA,30,8,3,00438a3ac0ef3aff3dff0940d8a83e74,38,20:30,82,2017
825,2017-11-01T10:00:00.000,1,3,66,Lane4,None,10,18,TOOMEYTEST,0,11,0,00438fe4c43c6e6db90fe8513d5f8d26,149,10:00,0,2017
826,2017-10-14T11:15:00.000,14,6,51,SB_out,SB,11,16,N Lamar15th,15,10,5,004394c0ac0543e90fa6216958cad3f7,35,11:15,96,2017
827,2017-12-01T16:45:00.000,1,5,94,SB_Lturn,SB,16,24,LOOP 360LAKEWOOD,45,12,11,004395cb52b56d5ab75281e8d0393359,42,16:45,249,2017
828,2017-08-05T03:15:00.000,5,6,13,NB_out,NB,3,3,LAMARSHOALCREEK,15,8,0,00439d0240b723c83d0ed3a97333bff3,28,03:15,19,2017
829,2017-10-04T20:00:00.000,4,3,20,SB_in,SB,20,5,LAMARSANDRA MURAIDA,0,10,9,0043d38a77c8e1c145036d64fb13b8e6,33,20:00,187,2017
